label,count
CBT,30
Behavioral treatment,14
Behavior therapy,3
emotion-focused,2
parent training,2
Fluoxetine,1
Attention Bias Modification Training,1
Trauma-focused CBT + Compassion-focused therapy,1
Sertraline,1
Brief parent training treatment (sleep treatment elements+behavior therapy for anxiety),1
Parent-child interaction therapy,1
behavioral parent training,1
Parent child interaction therapy,1
Attention training,1
Cognitive behavioral treatment,1
self-help,1
CBT+Behavioral parent training,1
Reading training,1
family-based,1
PMT,1
Cognitive therapy,1
Bibliotherapy,1
CBT principles,1
Mindfulness,1
nan,1
Social problem-solving intervention,1
EMDR,1
Interpersonal Psychotherapy,1
Quetiapine,1
CBT Bibliotherapy,1
Cognitive Bias Modification,1
Acceptance and Commitment Therapy,1
Metacognitive therapy,1
CBT+ interpersonal skills,1
equine-assisted therapy,1
